DBH,H,WD,Continent,S,SS,AGB,Rainfall,OldGrowth,ForestType,DryMonths,Altitude,SP
6.4,5.0,1.04,Asia,Australia,australia,7.07,1700.0,1.0,Dry,8,20,0
7.3,5.0,1.04,Asia,Australia,australia,10.3,1700.0,1.0,Dry,8,20,0
7.8,5.5,1.04,Asia,Australia,australia,13.9,1700.0,1.0,Dry,8,20,0
9.2,7.6,1.04,Asia,Australia,australia,18.61,1700.0,1.0,Dry,8,20,0
9.9,8.2,1.04,Asia,Australia,australia,30.97,1700.0,1.0,Dry,8,20,0
11.8,8.7,1.04,Asia,Australia,australia,46.44,1700.0,1.0,Dry,8,20,0
14.2,9.5,1.04,Asia,Australia,australia,110.14,1700.0,1.0,Dry,8,20,0
14.7,8.6,1.04,Asia,Australia,australia,74.51,1700.0,1.0,Dry,8,20,0
7.0,8.7,0.83,Asia,Australia,australia,13.3,1700.0,1.0,Dry,8,20,1
8.5,9.1,0.83,Asia,Australia,australia,27.88,1700.0,1.0,Dry,8,20,1
9.3,11.0,0.83,Asia,Australia,australia,42.7,1700.0,1.0,Dry,8,20,1
11.0,11.8,0.83,Asia,Australia,australia,55.28,1700.0,1.0,Dry,8,20,1
11.9,13.5,0.83,Asia,Australia,australia,83.64,1700.0,1.0,Dry,8,20,1
13.6,12.5,0.83,Asia,Australia,australia,73.05,1700.0,1.0,Dry,8,20,1
22.7,15.9,0.83,Asia,Australia,australia,337.41,1700.0,1.0,Dry,8,20,1
6.8,6.8,0.9,Asia,Australia,australia,8.54,1700.0,1.0,Dry,8,20,2
7.6,10.7,0.9,Asia,Australia,australia,21.09,1700.0,1.0,Dry,8,20,2
13.1,13.0,0.9,Asia,Australia,australia,60.11,1700.0,1.0,Dry,8,20,2
13.8,11.0,0.9,Asia,Australia,australia,57.29,1700.0,1.0,Dry,8,20,2
14.5,12.0,0.9,Asia,Australia,australia,72.62,1700.0,1.0,Dry,8,20,2
15.3,13.3,0.9,Asia,Australia,australia,98.1,1700.0,1.0,Dry,8,20,2
16.6,13.0,0.9,Asia,Australia,australia,112.16,1700.0,1.0,Dry,8,20,2
21.6,14.7,0.9,Asia,Australia,australia,197.17,1700.0,1.0,Dry,8,20,2
7.5,7.7,0.83,Asia,Australia,australia,14.13,1700.0,1.0,Dry,8,20,1
8.5,7.5,0.83,Asia,Australia,australia,17.26,1700.0,1.0,Dry,8,20,1
9.0,6.7,0.83,Asia,Australia,australia,16.63,1700.0,1.0,Dry,8,20,1
12.5,7.9,0.83,Asia,Australia,australia,46.75,1700.0,1.0,Dry,8,20,1
15.0,8.9,0.83,Asia,Australia,australia,81.42,1700.0,1.0,Dry,8,20,1
15.5,10.8,0.83,Asia,Australia,australia,99.8,1700.0,1.0,Dry,8,20,1
20.0,11.6,0.83,Asia,Australia,australia,158.66,1700.0,1.0,Dry,8,20,1
24.9,13.4,0.83,Asia,Australia,australia,225.61,1700.0,1.0,Dry,8,20,1
6.7,9.3,0.92,Asia,Australia,australia,18.72,1700.0,1.0,Dry,8,20,3
6.8,7.8,0.92,Asia,Australia,australia,10.09,1700.0,1.0,Dry,8,20,3
7.4,5.3,0.92,Asia,Australia,australia,15.67,1700.0,1.0,Dry,8,20,3
9.7,11.3,0.92,Asia,Australia,australia,27.18,1700.0,1.0,Dry,8,20,3
13.5,14.6,0.92,Asia,Australia,australia,89.83,1700.0,1.0,Dry,8,20,3
14.0,16.1,0.92,Asia,Australia,australia,122.39,1700.0,1.0,Dry,8,20,3
18.8,15.9,0.92,Asia,Australia,australia,205.92,1700.0,1.0,Dry,8,20,3
20.8,14.3,0.92,Asia,Australia,australia,232.32,1700.0,1.0,Dry,8,20,3
6.0,5.6,0.63,Asia,Australia,australia,7.82,1700.0,1.0,Dry,8,20,4
8.0,6.7,0.63,Asia,Australia,australia,18.1,1700.0,1.0,Dry,8,20,4
8.5,7.0,0.63,Asia,Australia,australia,22.5,1700.0,1.0,Dry,8,20,4
10.2,7.2,0.63,Asia,Australia,australia,22.53,1700.0,1.0,Dry,8,20,4
10.2,8.0,0.63,Asia,Australia,australia,35.99,1700.0,1.0,Dry,8,20,4
10.5,6.8,0.63,Asia,Australia,australia,42.16,1700.0,1.0,Dry,8,20,4
16.7,9.4,0.63,Asia,Australia,australia,136.62,1700.0,1.0,Dry,8,20,4
6.5,12.0,0.56,Americas,BraMan2,braman,14.39,2700.0,0.0,Moist,3,100,5
7.5,11.2,0.55,Americas,BraMan2,braman,20.58,2700.0,0.0,Moist,3,100,6
7.5,11.8,0.54,Americas,BraMan2,braman,19.67,2700.0,0.0,Moist,3,100,7
8.5,10.8,0.53,Americas,BraMan2,braman,25.76,2700.0,0.0,Moist,3,100,8
10.2,12.0,0.57,Americas,BraMan2,braman,46.73,2700.0,0.0,Moist,3,100,9
11.1,12.0,0.51,Americas,BraMan2,braman,37.45,2700.0,0.0,Moist,3,100,10
11.5,15.0,0.52,Americas,BraMan2,braman,55.79,2700.0,0.0,Moist,3,100,11
13.1,15.5,0.51,Americas,BraMan2,braman,79.22,2700.0,0.0,Moist,3,100,10
14.6,16.5,0.51,Americas,BraMan2,braman,128.39,2700.0,0.0,Moist,3,100,10
15.8,16.5,0.55,Americas,BraMan2,braman,140.31,2700.0,0.0,Moist,3,100,6
16.6,12.0,0.58,Americas,BraMan2,braman,105.17,2700.0,0.0,Moist,3,100,12
16.9,11.5,0.5,Americas,BraMan2,braman,110.98,2700.0,0.0,Moist,3,100,13
18.3,12.3,0.52,Americas,BraMan2,braman,140.25,2700.0,0.0,Moist,3,100,11
19.4,18.7,0.6,Americas,BraMan2,braman,210.31,2700.0,0.0,Moist,3,100,14
20.1,17.8,0.5,Americas,BraMan2,braman,214.39,2700.0,0.0,Moist,3,100,13
21.2,18.0,0.5,Americas,BraMan2,braman,247.35,2700.0,0.0,Moist,3,100,13
23.0,18.3,0.57,Americas,BraMan2,braman,243.02,2700.0,0.0,Moist,3,100,9
23.6,14.5,0.51,Americas,BraMan2,braman,320.36,2700.0,0.0,Moist,3,100,10
26.8,15.3,0.5,Americas,BraMan2,braman,335.73,2700.0,0.0,Moist,3,100,13
5.1,11.7,0.4,Americas,BraMan2,braman,5.88,2700.0,0.0,Moist,3,100,15
7.1,11.9,0.4,Americas,BraMan2,braman,9.41,2700.0,0.0,Moist,3,100,15
8.6,14.5,0.4,Americas,BraMan2,braman,11.13,2700.0,0.0,Moist,3,100,15
9.0,14.2,0.4,Americas,BraMan2,braman,17.06,2700.0,0.0,Moist,3,100,15
10.0,13.6,0.4,Americas,BraMan2,braman,23.52,2700.0,0.0,Moist,3,100,15
11.1,10.5,0.29,Americas,BraMan2,braman,22.92,2700.0,0.0,Moist,3,100,16
11.8,12.5,0.4,Americas,BraMan2,braman,30.08,2700.0,0.0,Moist,3,100,15
12.8,16.8,0.4,Americas,BraMan2,braman,32.79,2700.0,0.0,Moist,3,100,15
13.5,15.4,0.4,Americas,BraMan2,braman,57.24,2700.0,0.0,Moist,3,100,15
